Feature,Importance
MinutesOfDay,25.201586803124577
Hour,17.19200351818831
Hour_cos,9.439524418665819
last_24h_energy,8.470105580715906
Hour_sin,6.905214234898905
ema_1440,6.807831651620087
last_7day_energy,3.125989520589179
ema_2880,2.943805826073935
ema_720,2.527835406122941
last_30day_energy,1.891627524469873
DayOfYear_cos,1.4847562240851913
last_14day_energy,1.3229485588738055
rolling_mean_720,1.1699243586042796
ema_336,1.0219815450287197
Day,0.8837340498890703
DayOfWeek,0.8683532456821157
t_kWh,0.8231681571254628
rolling_max_168,0.7753229999802281
DayOfYear_sin,0.6787878983223383
rolling_mean_336,0.6557956220777117
Temperature,0.5829847242271232
Year,0.5522358088045269
trend_ema_336_720,0.4887548115731436
DayOfYear,0.43974423042203836
trend_roll_168_720,0.36680318817954055
rolling_median_168,0.3562361800803237
last_12h_energy,0.35287355699717327
SurfacePressure,0.3235563750522347
rolling_std_168,0.1764643092117839
rolling_max_72,0.1696484964578241
WindSpeed,0.15242887203591157
rolling_max_3,0.15120919120789497
trend_ema_24_96,0.1312812014500976
Month_sin,0.12200215311094817
rolling_min_168,0.11817057422517015
rolling_median_72,0.11596939676803136
WeekOfYear,0.11230111450459651
trend_ema_96_336,0.10588745507434923
diff_336,0.08644415126692767
Weekend,0.07955708178546864
Month_cos,0.07820164578073856
rolling_min_24,0.06092354748401978
rolling_max_24,0.05645921079401675
ema_3,0.05404304285279839
ema_12,0.0535752906101463
ema_6,0.051305672522293504
diff_168,0.04852083377635067
rolling_median_6,0.04109402004841596
Humidity,0.03887102986849881
rolling_min_3,0.03815146709678612
rolling_min_72,0.03365219265604956
rolling_max_6,0.03336784444597157
diff_72,0.03129307896634804
rolling_mean_3,0.030490693234666213
rolling_min_6,0.02118077386425853
Precipitation,0.020296836519406284
rolling_median_24,0.01946744438673723
trend_roll_24_168,0.01744366963337519
MorningPeak,0.016865589594310944
rolling_std_72,0.013476391494852151
rolling_mean_168,0.012469309624102554
rolling_mean_6,0.01113294495071297
last_3h_energy,0.009247824973166056
rolling_std_12,0.007401474794480616
ema_168,0.005365125959739109
lag_6,0.004079260216098412
rolling_mean_12,0.00339663213187706
last_1h_energy,0.0025580039783560625
diff_24,0.002148762650268336
lag_12,0.002124641222607409
rolling_mean_72,0.0019372058996811891
ema_48,0.0013649128674444945
rolling_std_24,0.0012594571120227841
Minute,0.0012448757776638323
EveningPeak,0.0006517891655413324
diff_6,8.748647262674428e-05
lag_3,0.0
lag_1,0.0
Season,0.0
Month,0.0
