Feature,Importance
Minute,31.348505916908273
t_kWh,28.826163779249068
ema_12,4.777728245791536
Hour_cos,3.4026782686568464
last_24h_energy,3.365513092668918
ema_6,2.57502936064639
rolling_median_24,1.996000241213175
ema_720,1.8074122157936237
ema_2880,1.7814814746109622
ema_1440,1.5362663413555346
rolling_median_6,1.4365995084137484
ema_24,0.9579119022728189
trend_ema_336_720,0.9406344846690249
Hour_sin,0.8778828743075516
Temperature,0.7199616688147992
rolling_mean_12,0.6556293797162397
rolling_mean_336,0.5537435623531869
last_30day_energy,0.5293864481928504
MorningPeak,0.5272807206193932
MinutesOfDay,0.5073803470163476
trend_roll_168_720,0.5006520979485253
diff_6,0.47003514423740717
last_14day_energy,0.45734276676419855
Hour,0.44697340271838765
lag_1,0.4141223569841805
last_7day_energy,0.3757490781343632
DayOfYear_cos,0.37218221226120884
ema_3,0.3604914670784148
rolling_std_72,0.35535459452667056
rolling_max_24,0.3520241941206916
SurfacePressure,0.32967573829946656
diff_24,0.2858483610717425
rolling_max_6,0.28439004569663795
trend_ema_96_336,0.27872415543952866
rolling_std_168,0.27597344896415504
rolling_max_168,0.26287232894135115
rolling_median_72,0.2622929443245633
rolling_max_72,0.26073965091767304
rolling_std_6,0.2579052019627389
rolling_median_168,0.25295585030037615
rolling_min_24,0.21954206312331695
Year,0.21860716875973288
rolling_max_3,0.21365923558364533
ema_48,0.21095222351305778
rolling_std_24,0.20711499749386098
diff_168,0.19566464441926407
rolling_min_6,0.1906215534375732
lag_2,0.18830948668256053
trend_ema_24_96,0.1841795657330449
rolling_min_72,0.18225146290709462
rolling_min_3,0.18083878921226212
WindSpeed,0.17375168455046888
diff_336,0.1729047322241634
rolling_std_12,0.16010173759641813
trend_roll_24_168,0.14169089691487477
DayOfYear_sin,0.13990465875740735
Humidity,0.11624002764738552
last_3h_energy,0.1095579893560511
DayOfYear,0.10100811884003513
rolling_mean_720,0.10053768546593243
last_12h_energy,0.0932190541057432
rolling_mean_24,0.08492705084429192
diff_72,0.08003658953815516
lag_24,0.0747880711064614
Day,0.07294560583807544
rolling_min_168,0.06133990924466759
last_1h_energy,0.045843788178025084
ema_336,0.034901542031263354
ema_168,0.024260645600890633
rolling_mean_6,0.022123842546547996
ema_96,0.01868030478515234
