Feature,Importance
Day,29.451529216049938
ema_2880,17.894084821682313
ema_1440,11.044264109962679
last_30day_energy,7.47649325977683
DayOfYear_cos,6.1455098294371435
Month_cos,4.658300010771468
Year,4.3385239859110065
DayOfYear_sin,3.081662986142542
last_7day_energy,2.997907293592132
last_14day_energy,2.8392425194019006
last_24h_energy,2.217168019426922
rolling_mean_720,1.5674111502406045
ema_720,1.3482910845598541
DayOfYear,1.1283924376396557
Month_sin,1.0579959383348791
rolling_max_168,1.013320793673607
rolling_median_168,0.4134038343175501
rolling_std_168,0.22150441184598596
WeekOfYear,0.21845687229137925
rolling_max_72,0.10672676180188193
SurfacePressure,0.09640316759215821
rolling_min_168,0.094347727599592
trend_ema_336_720,0.0742194082836297
rolling_mean_12,0.05244920285543983
rolling_mean_24,0.05232717669436271
MinutesOfDay,0.05127996629363264
trend_roll_168_720,0.045432845948528235
rolling_median_72,0.045256475543628744
rolling_mean_6,0.03796471607608271
Hour,0.03550503065699594
Month,0.034415801750808606
ema_6,0.03150130991514153
t_kWh,0.020597108903776057
rolling_max_24,0.018348629528431807
ema_3,0.017849836248710494
rolling_max_6,0.016262522467814778
rolling_min_24,0.014322316135771389
rolling_mean_336,0.013661967548975341
rolling_max_3,0.010998947664697268
diff_336,0.00940384054065393
Hour_sin,0.007262664890842043
ema_336,0.0
rolling_mean_168,0.0
last_1h_energy,0.0
Hour_cos,0.0
