Feature,Importance
last_30day_energy,2035
last_14day_energy,1696
last_7day_energy,1612
last_24h_energy,1603
MinutesOfDay,1353
Day,1296
DayOfYear_cos,1175
rolling_max_168,1162
DayOfYear,1095
ema_2880,1071
DayOfWeek,915
DayOfYear_sin,878
ema_1440,775
rolling_mean_720,637
rolling_median_168,630
Hour_cos,613
Temperature,574
rolling_mean_336,564
trend_ema_336_720,514
SurfacePressure,514
rolling_std_168,478
rolling_max_72,392
trend_roll_168_720,374
Hour_sin,363
WeekOfYear,338
t_kWh,319
last_12h_energy,312
Year,311
Hour,296
WindSpeed,277
rolling_min_168,270
ema_720,269
rolling_median_72,259
Humidity,238
trend_ema_96_336,199
rolling_max_24,155
rolling_min_72,133
rolling_std_72,119
rolling_min_24,113
ema_336,111
Month,107
Month_sin,103
diff_336,94
diff_168,89
rolling_median_24,84
rolling_max_6,81
rolling_mean_168,81
Month_cos,77
diff_72,76
Precipitation,72
trend_ema_24_96,67
ema_168,62
last_6h_energy,53
rolling_mean_72,50
Weekend,44
rolling_min_6,42
trend_roll_24_168,38
diff_24,36
rolling_median_6,35
ema_96,34
ema_48,34
rolling_std_24,34
last_3h_energy,32
rolling_min_3,31
rolling_max_3,30
ema_6,29
rolling_mean_12,28
rolling_mean_3,28
BusinessHour,22
ema_3,21
ema_24,20
rolling_mean_24,20
Season,18
MorningPeak,17
ema_12,17
rolling_mean_6,17
lag_1,15
last_1h_energy,13
rolling_std_12,12
EveningPeak,11
Quarter,10
lag_12,9
lag_24,3
rolling_std_6,2
lag_2,1
diff_6,1
lag_3,0
Minute,0
lag_6,0
