Feature,Importance
Minute,11108
WindSpeed,6592
Temperature,6445
SurfacePressure,5973
Humidity,5006
last_30day_energy,4863
Hour_sin,4726
t_kWh,4500
Hour_cos,4312
rolling_max_168,4105
last_24h_energy,3797
rolling_median_72,3752
trend_roll_168_720,3693
trend_ema_336_720,3691
rolling_max_72,3689
rolling_median_168,3673
Hour,3617
last_14day_energy,3616
rolling_mean_336,3612
rolling_std_168,3580
rolling_std_72,3494
MinutesOfDay,3388
last_7day_energy,3277
Day,3255
rolling_max_24,3172
rolling_median_24,2953
rolling_std_24,2886
DayOfYear_cos,2867
diff_336,2770
ema_2880,2768
rolling_min_24,2673
diff_168,2599
trend_ema_96_336,2497
rolling_mean_720,2458
DayOfYear,2375
trend_roll_24_168,2360
last_12h_energy,2360
DayOfYear_sin,2235
diff_24,2189
rolling_min_72,2183
rolling_std_12,2131
diff_6,2127
diff_72,2125
ema_1440,2111
trend_ema_24_96,2110
last_6h_energy,1957
rolling_mean_168,1937
rolling_min_168,1833
rolling_max_6,1776
DayOfWeek,1723
ema_720,1692
rolling_min_6,1690
last_3h_energy,1567
rolling_mean_72,1540
lag_1,1503
ema_336,1433
lag_24,1327
rolling_std_6,1231
ema_168,1158
Precipitation,1126
WeekOfYear,1092
rolling_min_3,1077
lag_12,1069
rolling_mean_24,1033
rolling_mean_12,993
ema_96,988
rolling_max_3,975
rolling_median_6,953
ema_48,914
Year,874
last_1h_energy,812
ema_24,798
ema_12,792
lag_2,681
rolling_mean_6,640
rolling_mean_3,605
lag_6,596
ema_3,592
MorningPeak,570
ema_6,552
lag_3,390
Month_sin,368
Month,316
Month_cos,286
EveningPeak,175
BusinessHour,126
Season,110
Weekend,82
Quarter,21
