Feature,Importance
last_30day_energy,1350
Day,1080
last_14day_energy,1054
DayOfYear_sin,742
DayOfYear_cos,641
last_7day_energy,553
ema_2880,528
Year,527
DayOfYear,426
Month_cos,343
rolling_max_168,320
last_24h_energy,261
ema_1440,243
rolling_median_168,221
Month,200
Month_sin,191
WeekOfYear,177
rolling_mean_720,138
rolling_std_168,98
SurfacePressure,84
ema_720,56
rolling_max_72,52
Season,49
rolling_min_168,43
trend_roll_168_720,39
rolling_mean_336,30
trend_ema_336_720,27
DayOfWeek,25
Humidity,22
Quarter,22
rolling_median_72,22
MinutesOfDay,22
rolling_min_72,16
rolling_max_24,13
ema_336,11
diff_336,11
trend_ema_96_336,10
t_kWh,10
last_1h_energy,9
ema_6,9
ema_3,9
last_6h_energy,8
rolling_std_72,8
rolling_mean_12,8
rolling_mean_168,8
rolling_median_24,7
rolling_min_24,6
ema_168,6
last_12h_energy,6
diff_168,6
Hour_cos,5
ema_24,5
rolling_mean_24,4
rolling_mean_6,4
Hour,4
ema_48,4
ema_12,4
Hour_sin,4
ema_96,3
rolling_mean_72,3
WindSpeed,3
Weekend,2
rolling_max_3,1
rolling_std_12,1
rolling_mean_3,1
Temperature,1
lag_24,0
lag_6,0
lag_1,0
lag_2,0
lag_3,0
lag_12,0
Minute,0
rolling_std_6,0
rolling_min_6,0
rolling_std_24,0
rolling_max_6,0
Precipitation,0
rolling_min_3,0
diff_24,0
diff_6,0
last_3h_energy,0
trend_roll_24_168,0
trend_ema_24_96,0
diff_72,0
rolling_median_6,0
BusinessHour,0
MorningPeak,0
EveningPeak,0
