Feature,Importance
ema_336,0.4086088
ema_720,0.26492438
MinutesOfDay,0.044096597
ema_1440,0.03966429
rolling_mean_720,0.03428643
ema_12,0.029398767
Hour_cos,0.02861975
Hour_sin,0.023360655
ema_48,0.017651286
last_24h_energy,0.016666718
ema_2880,0.013162837
Hour,0.007659213
rolling_min_3,0.007283171
last_7day_energy,0.005762856
rolling_min_6,0.0056731366
t_kWh,0.004916683
rolling_mean_3,0.004680082
ema_6,0.0027456463
lag_1,0.0018246229
last_14day_energy,0.0015935486
rolling_max_6,0.0015836139
Temperature,0.001384261
rolling_max_3,0.0013602396
SurfacePressure,0.0013242482
diff_336,0.0012880673
Year,0.0012308356
diff_72,0.0012247234
diff_24,0.0012203958
rolling_max_72,0.0012018472
ema_24,0.0010102822
trend_ema_336_720,0.0009796668
trend_roll_168_720,0.00097293284
DayOfYear,0.0008315617
last_30day_energy,0.0007508981
DayOfYear_cos,0.0007445785
WeekOfYear,0.00074008806
Season,0.0007333945
DayOfYear_sin,0.00073193526
rolling_std_168,0.0007137394
Month_cos,0.00070565427
Month_sin,0.000692933
BusinessHour,0.0006768724
rolling_max_168,0.000668525
ema_3,0.00063145446
trend_roll_24_168,0.0006087675
trend_ema_96_336,0.0005869062
rolling_max_24,0.0005797291
rolling_median_168,0.0005761631
MorningPeak,0.0005655714
trend_ema_24_96,0.0005646309
diff_168,0.00055621273
last_12h_energy,0.0005250278
DayOfWeek,0.0005215506
Day,0.0005175708
rolling_mean_336,0.0005131012
rolling_mean_168,0.00048405456
WindSpeed,0.00046058276
rolling_median_72,0.0004322304
Month,0.0004293817
Humidity,0.00037466397
rolling_mean_24,0.0003671186
rolling_std_12,0.00036454413
rolling_min_72,0.00036166765
rolling_median_24,0.0003603362
rolling_min_168,0.00035671075
last_1h_energy,0.0003506777
rolling_min_24,0.00034211393
Weekend,0.00031936014
rolling_mean_12,0.0003192058
last_6h_energy,0.0003122123
last_3h_energy,0.00030715662
rolling_mean_72,0.0002854476
Precipitation,0.00027315045
rolling_std_72,0.00026247808
rolling_mean_6,0.00021911501
ema_168,0.00018761276
rolling_median_6,0.00015589492
rolling_std_24,0.00013534402
ema_96,0.00013525212
lag_12,0.000100027195
diff_6,7.437662e-05
lag_6,4.94776e-05
lag_24,4.145647e-05
Minute,3.258388e-05
lag_3,4.752779e-06
lag_2,3.5888206e-06
rolling_std_6,3.5487144e-08
Quarter,0.0
EveningPeak,0.0
