Feature,Importance
ema_6,0.23781846
ema_12,0.2303113
t_kWh,0.17927827
ema_24,0.11463172
Minute,0.05095662
ema_1440,0.02278468
last_24h_energy,0.019783815
ema_2880,0.017423294
rolling_mean_24,0.0114608295
Hour_cos,0.008694622
rolling_median_24,0.0084935725
ema_3,0.0072988668
rolling_max_3,0.006646704
last_7day_energy,0.005027277
lag_1,0.0049690064
MinutesOfDay,0.004574526
rolling_max_6,0.0038611242
rolling_mean_12,0.0035136377
ema_48,0.003293649
rolling_mean_6,0.0030477203
MorningPeak,0.002513103
rolling_max_24,0.0022459705
ema_96,0.0021939985
trend_roll_168_720,0.0021083117
trend_ema_336_720,0.0018647638
rolling_mean_3,0.0018260466
Hour,0.001712321
ema_168,0.0016650727
rolling_median_6,0.0016167697
diff_6,0.0016037527
rolling_min_3,0.0014702203
last_14day_energy,0.0013696934
last_1h_energy,0.0012756919
diff_168,0.0012120028
rolling_min_6,0.0011429333
last_3h_energy,0.0010932139
trend_roll_24_168,0.0010099568
rolling_std_12,0.0010008854
DayOfYear_cos,0.00095743523
Hour_sin,0.00094640936
rolling_std_6,0.00086656323
Season,0.00086624257
diff_24,0.00082871836
lag_6,0.00078934344
rolling_min_24,0.0007867997
trend_ema_96_336,0.00076067395
SurfacePressure,0.00074915687
lag_24,0.00073615403
diff_72,0.0007331256
rolling_std_72,0.0007193112
rolling_std_168,0.0007058772
last_30day_energy,0.0006881363
rolling_mean_168,0.00066129566
Month_cos,0.00061164144
rolling_std_24,0.00060565263
Temperature,0.00060275313
rolling_mean_72,0.0005979661
Month_sin,0.00055233424
rolling_mean_336,0.00055207964
ema_720,0.00054425024
lag_2,0.0005397125
rolling_max_72,0.00053174247
rolling_max_168,0.0005257928
Year,0.0005210534
rolling_min_72,0.00049148477
trend_ema_24_96,0.0004898898
WindSpeed,0.00046508876
rolling_median_168,0.0004646841
DayOfYear,0.00046438957
last_6h_energy,0.00045155894
WeekOfYear,0.0004399473
last_12h_energy,0.00042427392
lag_12,0.0004221256
BusinessHour,0.0004160297
Humidity,0.00041092897
rolling_mean_720,0.0004097141
Month,0.00040602058
rolling_median_72,0.0004039601
lag_3,0.0003789504
DayOfYear_sin,0.00037434956
ema_336,0.0003713921
Day,0.0003610201
diff_336,0.00035496397
rolling_min_168,0.00033806064
EveningPeak,0.00032591145
Precipitation,0.00028346662
DayOfWeek,0.00027708558
Weekend,0.0
Quarter,0.0
