Feature,Importance
ema_1440,0.23311682
rolling_mean_720,0.18345086
ema_720,0.12716882
Day,0.08295039
last_24h_energy,0.08262315
ema_2880,0.079171576
DayOfYear,0.01880412
Month_cos,0.018521637
Month,0.018461755
Quarter,0.013352327
DayOfYear_sin,0.012143974
last_14day_energy,0.008727525
Weekend,0.008355485
DayOfYear_cos,0.00823471
last_7day_energy,0.007374664
Month_sin,0.007284238
last_30day_energy,0.0058777384
rolling_max_72,0.005248862
Year,0.0049110283
ema_48,0.004877869
WeekOfYear,0.004685836
ema_336,0.0044566114
rolling_mean_24,0.0038538838
rolling_mean_12,0.0038123045
rolling_max_24,0.0032395066
rolling_std_168,0.002543405
ema_6,0.002398181
ema_3,0.0021122112
rolling_median_168,0.001924786
rolling_max_168,0.0018624689
SurfacePressure,0.0018459841
diff_168,0.0018374482
rolling_min_3,0.0018218826
rolling_min_72,0.0017787667
rolling_mean_336,0.0015971108
diff_336,0.0015655173
Hour_cos,0.0015597583
rolling_mean_6,0.0014899374
Season,0.0014002996
trend_ema_336_720,0.0013889549
rolling_median_24,0.0013424437
rolling_min_168,0.0013364621
Humidity,0.0011974578
rolling_max_6,0.0010933505
DayOfWeek,0.001021685
rolling_median_72,0.0010116289
trend_roll_168_720,0.0009591757
rolling_max_3,0.00090294844
last_12h_energy,0.000851069
diff_24,0.00077794463
rolling_min_24,0.0007716248
rolling_mean_168,0.00076828245
rolling_min_6,0.0007584568
last_1h_energy,0.0007563626
rolling_mean_3,0.0007259177
t_kWh,0.0006926928
rolling_std_72,0.0006393564
trend_ema_96_336,0.0005868704
ema_12,0.0005724809
Temperature,0.00054341025
MinutesOfDay,0.000531478
rolling_std_12,0.00046205096
ema_24,0.000442845
rolling_std_24,0.00043504054
ema_96,0.0003820305
last_3h_energy,0.00037640112
Hour,0.00037206014
trend_roll_24_168,0.00032922896
Hour_sin,0.00029714874
diff_6,0.0002925578
rolling_median_6,0.00023266302
WindSpeed,0.00022427712
last_6h_energy,0.00019197246
lag_2,9.958364e-05
Precipitation,8.597095e-05
rolling_mean_72,7.318851e-05
ema_168,2.9387178e-05
lag_1,0.0
lag_3,0.0
Minute,0.0
lag_12,0.0
rolling_std_6,0.0
lag_24,0.0
lag_6,0.0
diff_72,0.0
trend_ema_24_96,0.0
BusinessHour,0.0
MorningPeak,0.0
EveningPeak,0.0
